Variable,N,Media,Mediana,Desv.Std,Mínimo,Q1,Q3,Máximo,Asimetría,Curtosis
Age,20000,38.851453500000005,39.864999999999995,12.114580329304252,18.0,28.17,49.63,59.67,-0.09160270886558947,-1.2043555543626625
Weight (kg),20000,73.8988315,70.0,21.173009657498046,39.18,58.16,86.1,130.77,0.7690242977456401,-0.031195242127112888
Height (m),20000,1.7230935,1.71,0.12703279940376114,1.49,1.62,1.8,2.01,0.3345557425356603,-0.702015261793886
Max_BPM,20000,179.889702,180.14,11.510805287342592,159.31,170.0575,189.42499999999998,199.64,-0.03458679479190486,-1.1794353141022058
Avg_BPM,20000,143.704306,142.99,14.267687577663198,119.07,131.22,156.06,169.84,0.08788509104385384,-1.1826672837779115
Resting_BPM,20000,62.195813,62.2,7.289351036337703,49.49,55.96,68.09,74.5,-0.06483354426630043,-1.1678294844859738
Session_Duration (hours),20000,1.2594465,1.27,0.34133624794249146,0.49,1.05,1.46,2.02,0.020653287256915343,-0.32926797619096027
Calories_Burned,20000,1280.1096005000002,1231.45,502.22898206685244,323.11,910.8,1553.1125,2890.82,0.6824255909896861,0.2762648192589645
Fat_Percentage,20000,26.101313358952215,25.822503732955646,4.996160091310886,11.333133614105773,22.387806968981536,29.676026059105112,35.0,0.08399280733981944,-0.7125744992367182
Water_Intake (liters),20000,2.6274855,2.61,0.6047239509417435,1.46,2.17,3.12,3.73,0.05724757515470596,-1.0390683817378892
Workout_Frequency (days/week),20000,3.3186285000000004,3.01,0.9111978918257293,1.94,2.98,4.0,5.06,0.15358721825191585,-0.8009358466628838
Experience_Level,20000,1.8091765,1.99,0.736203583687,1.0,1.01,2.02,3.05,0.3278543746267574,-1.112786310204208
BMI,20000,24.92168,24.12,6.701126209244504,12.04,20.0975,28.56,50.23,0.7894844354547945,0.8089930375892682
Daily meals frequency,20000,2.8648045,3.0,0.6366485591353698,1.95,2.02,3.01,4.04,0.12204034002887977,-0.5873654294020589
Physical exercise,20000,0.45250300000000004,0.01,0.9866275825712225,-0.07,-0.01,0.04,4.05,2.4226002176181516,5.139527258886415
Carbs,20000,249.7785915,242.9,55.108623060079324,137.72,207.5475,283.975,462.49,0.7904320085627046,0.645807435803647
Proteins,20000,99.9182905,97.14500000000001,22.043670354383917,55.17,83.04,113.64,185.34,0.7903395771968528,0.6467050062038529
Fats,20000,66.612172,64.77,14.699283680827868,36.59,55.34,75.7525,123.42,0.7897893893405129,0.6455912871263014
Calories,20000,2024.4183,1919.0,541.8915212901493,781.0,1634.0,2360.0,3641.0,0.6534116925252654,-0.1398931811159465
sugar_g,20000,24.531042,24.06,14.446104698543621,-0.67,11.99,37.49,50.51,0.02789549727126625,-1.2318432037516827
sodium_mg,20000,1258.139709,1267.65,716.6189872316448,19.22,645.1275,1850.8925000000002,2527.27,0.007963788434805033,-1.1833158650117925
cholesterol_mg,20000,148.4656025,149.79500000000002,87.38281737959502,-3.89,71.97,221.84,303.99,-0.020933059809081465,-1.1589369430112662
serving_size_g,20000,302.71949850000004,300.015,115.71194876194858,95.95,207.2175,401.86,507.52,-0.0034138666934860756,-1.191050222323271
prep_time_min,20000,33.517447499999996,34.33,16.52686923255809,3.95,18.5875,47.94,61.29,-0.0721356929631206,-1.2889015437714533
cook_time_min,20000,61.5021645,60.92,33.57974563730036,3.35,32.4775,89.375,121.46,0.05930053381024906,-1.2008042076620655
rating,20000,2.989303,3.0,1.1576915248348039,0.93,1.94,4.0,5.06,-0.013274356364533174,-1.2399744831491448
Sets,20000,4.4250595,4.02,0.5795959394547219,2.96,4.0,5.0,5.05,-0.4122914231925139,-0.7279610973400197
Reps,20000,19.4273165,19.9,3.679707470191219,4.85,16.12,22.88,30.12,-0.36079983591536696,-0.14822027047352382
Burns Calories (per 30 min),20000,344.04651449999994,348.605,32.13878245131826,128.75,337.6,360.4725,381.71,-3.900864811112037,17.915841111366678
BMI_calc,20000,24.92165090787833,24.119097000676113,6.701143834991109,12.037907057907596,20.09497482336016,28.562619600218053,50.22954361328652,0.7894696301588247,0.8089831397879097
cal_from_macros,20000,1998.2970759999998,1943.13,440.8484081854898,1105.5700000000002,1661.0225,2271.95,3699.54,0.7905115984990856,0.6462172535565314
pct_carbs,20000,0.4999830470190845,0.49998098046795625,0.0014554897215386243,0.4924342408151991,0.49905380303501334,0.5009102895796401,0.5078886499508576,-0.013006290280656889,0.6464116951293017
protein_per_kg,20000,1.4601415773786344,1.3822603416880446,0.5189455048087183,0.5167064439140812,1.076293739947194,1.7504950594361577,3.916880691104366,0.8901252486828711,1.0115714165068814
pct_HRR,20000,0.6990052532695914,0.6862837255907319,0.14488041735836257,0.3713438576809039,0.5836562412191599,0.7981956530048346,1.0739391552623805,0.30882288110193284,-0.5610750243722076
pct_maxHR,20000,0.8023050385724124,0.7948339842487298,0.09661267651071423,0.5997889129014424,0.7276759062445266,0.8692107864957591,1.0470315631262523,0.282658454135425,-0.6194110979397522
cal_balance,20000,744.3086994999999,691.19,720.9466189334972,-1266.2199999999998,261.4325,1176.29,3075.58,0.30289868480334065,-0.012443027412271768
lean_mass_kg,20000,53.78638385362203,51.20490816347471,12.49873997978362,30.94626094233213,44.58703725620299,61.939015630261466,90.11737126575451,0.6151155452684657,-0.31009176551931894
expected_burn,20000,866.3523181499999,868.7213999999999,250.31706917284816,219.8528,714.09825,1012.5327,1477.1087999999995,0.05418161910971696,-0.39860422302706855
