Variable,N_Outliers,Porcentaje
Age,0,0.0
Weight (kg),152,0.76
Height (m),0,0.0
Max_BPM,0,0.0
Avg_BPM,0,0.0
Resting_BPM,0,0.0
Session_Duration (hours),0,0.0
Calories_Burned,507,2.535
Fat_Percentage,1,0.005
Water_Intake (liters),0,0.0
Workout_Frequency (days/week),0,0.0
Experience_Level,0,0.0
BMI,530,2.65
Daily meals frequency,0,0.0
Physical exercise,4695,23.474999999999998
Carbs,405,2.025
Proteins,403,2.015
Fats,399,1.9949999999999999
Calories,102,0.51
sugar_g,0,0.0
sodium_mg,0,0.0
cholesterol_mg,0,0.0
serving_size_g,0,0.0
prep_time_min,0,0.0
cook_time_min,0,0.0
rating,0,0.0
Sets,0,0.0
Reps,42,0.21
Burns Calories (per 30 min),893,4.465
BMI_calc,529,2.645
cal_from_macros,397,1.9849999999999999
pct_carbs,307,1.5350000000000001
protein_per_kg,327,1.635
pct_HRR,0,0.0
pct_maxHR,0,0.0
cal_balance,232,1.16
lean_mass_kg,17,0.08499999999999999
expected_burn,46,0.22999999999999998
