Variable,Tipo,Naturaleza,Valores únicos,Rango
Age,Numérica,Continua,3950,"[18.00, 59.67]"
Weight (kg),Numérica,Continua,7042,"[39.18, 130.77]"
Height (m),Numérica,Continua,53,"[1.49, 2.01]"
Max_BPM,Numérica,Continua,3808,"[159.31, 199.64]"
Avg_BPM,Numérica,Continua,4801,"[119.07, 169.84]"
Resting_BPM,Numérica,Continua,1939,"[49.49, 74.50]"
Session_Duration (hours),Numérica,Continua,154,"[0.49, 2.02]"
Calories_Burned,Numérica,Continua,4587,"[323.11, 2890.82]"
Fat_Percentage,Numérica,Continua,18492,"[11.33, 35.00]"
Water_Intake (liters),Numérica,Continua,198,"[1.46, 3.73]"
Workout_Frequency (days/week),Numérica,Continua,55,"[1.94, 5.06]"
Experience_Level,Numérica,Continua,32,"[1.00, 3.05]"
BMI,Numérica,Continua,3059,"[12.04, 50.23]"
Daily meals frequency,Numérica,Continua,31,"[1.95, 4.04]"
Physical exercise,Numérica,Continua,67,"[-0.07, 4.05]"
Carbs,Numérica,Continua,12089,"[137.72, 462.49]"
Proteins,Numérica,Continua,7332,"[55.17, 185.34]"
Fats,Numérica,Continua,5524,"[36.59, 123.42]"
Calories,Numérica,Continua,2471,"[781.00, 3641.00]"
sugar_g,Numérica,Continua,4947,"[-0.67, 50.51]"
sodium_mg,Numérica,Continua,19152,"[19.22, 2527.27]"
cholesterol_mg,Numérica,Continua,14545,"[-3.89, 303.99]"
serving_size_g,Numérica,Continua,15581,"[95.95, 507.52]"
prep_time_min,Numérica,Continua,5384,"[3.95, 61.29]"
cook_time_min,Numérica,Continua,9406,"[3.35, 121.46]"
rating,Numérica,Continua,414,"[0.93, 5.06]"
Sets,Numérica,Continua,30,"[2.96, 5.05]"
Reps,Numérica,Continua,654,"[4.85, 30.12]"
Burns Calories (per 30 min),Numérica,Continua,5766,"[128.75, 381.71]"
BMI_calc,Numérica,Continua,18158,"[12.04, 50.23]"
cal_from_macros,Numérica,Continua,18808,"[1105.57, 3699.54]"
pct_carbs,Numérica,Continua,19982,"[0.49, 0.51]"
protein_per_kg,Numérica,Continua,19986,"[0.52, 3.92]"
pct_HRR,Numérica,Continua,19988,"[0.37, 1.07]"
pct_maxHR,Numérica,Continua,19965,"[0.60, 1.05]"
cal_balance,Numérica,Continua,18736,"[-1266.22, 3075.58]"
lean_mass_kg,Numérica,Continua,19693,"[30.95, 90.12]"
expected_burn,Numérica,Continua,19296,"[219.85, 1477.11]"
Gender,Categórica,Nominal,2,-
Workout_Type,Categórica,Nominal,4,-
meal_name,Categórica,Nominal,908,-
meal_type,Categórica,Nominal,4,-
diet_type,Categórica,Nominal,6,-
cooking_method,Categórica,Nominal,7,-
Name of Exercise,Categórica,Nominal,55,-
Benefit,Categórica,Nominal,49,-
Target Muscle Group,Categórica,Nominal,36,-
Equipment Needed,Categórica,Nominal,20,-
Difficulty Level,Categórica,Nominal,3,-
Body Part,Categórica,Nominal,7,-
Type of Muscle,Categórica,Nominal,13,-
Workout,Categórica,Nominal,53,-
