Variable,Coeficiente,Odds_Ratio,Abs_Coef
Weight (kg),1.1209495098490727,3.0677656945710803,1.1209495098490727
Proteins,1.1120833925892153,3.0406867441570924,1.1120833925892153
Fats,-1.0962097243145443,0.33413515094136137,1.0962097243145443
BMI,-0.8363864874378473,0.4332733367509573,0.8363864874378473
Height (m),-0.4857818902773168,0.6152159772673031,0.4857818902773168
Session_Duration (hours),0.1723408869897563,1.188082766149534,0.1723408869897563
Calories,-0.15428689686238387,0.8570261076359944,0.15428689686238387
Water_Intake (liters),0.11983006165972647,1.1273052629153455,0.11983006165972647
Age,-0.06214082320008936,0.9397505387943147,0.06214082320008936
Workout_Frequency (days/week),-0.05195956341153924,0.9493672552397348,0.05195956341153924
Carbs,-0.04092281471695205,0.9599032174900688,0.04092281471695205
Calories_Burned,0.0059867108325595934,1.0060046670007676,0.0059867108325595934
